Name,Lifetime,Nationality,Death
Johann Albrecht Adelgrief,d. 1636,German,Executed after claiming to be a prophet.[6]
Marigje Arriens,c. 1520–1591,Dutch,Burned to death for sorcery.
Goodwife Bassett[7],born. 1651,Colonial American colonist,Accused but not executed because she was pregnant. (Husband John Proctor Jr was executed for being a Witch) Elizabeth died sometime after 1703. The cause is unknown but not from Witch trials.
Allison Balfour,d. 1594,Scottish,Executed in Kirkwall
Agnes Bernauer,c. 1410–1435,Bavarian,"Convicted of witchcraft and thrown in the Danube to drown, following accusations by her father-in-law Ernest, Duke of Bavaria."
Merga Bien,1560s–1603,German,Convicted as part of the Fulda witch trials and burned to death.
Lasses Birgitta,d. 1550,Swedish,The first woman executed for witchcraft in Sweden; beheaded.
Bridget Bishop,c. 1632–1692,English (emigrated to British America),The first person to be tried and executed during the Salem witch trials.[8]
Viola Cantini,1668-1693,Italian,"Burned to death on May 10, 1693, after caught performing vampirism on her dying son and cursing members of the village.[citation needed]"
Sidonia von Borcke,1548–1620,Pomeranian,"Confessed to murder and witchcraft under torture; beheaded, corpse burned."
Janet Boyman,d. 1572,Scottish,Executed in 1572 for witchcraft
George Burroughs,c. 1650–1692,Colonial American colonist,"Congregational pastor, executed as part of the Salem witch trials.[9]"
Martha Carrier,"d. 1692, August 19",Colonial American colonist,Hanged during the Salem witch trials; her children had claimed she was a witch while undergoing torture.
Anne de Chantraine,1601–1622,French,Strangled and then burned at the stake.
Michée Chauderon,d. 1652,Swiss,Confessed under torture to summoning demons and was the last person executed for sorcery in Geneva.[10]
Nyzette Cheveron,d. 1605,Belgian,Confessed to being a witch; was strangled and burned to death.
Elizabeth Clarke,c. 1565–1645,English,"The first woman persecuted by the Witchfinder General, Matthew Hopkins; hanged."
Giles Corey,c. 1611–1692,English (emigrated to British America),"Crushed to death for refusing to plea during the Salem witch trials. This method is also known as pressing. His last words were ""more weight please""."
Martha Corey,1620s–1692,English (emigrated to British America),Hanged during the Salem witch trials
Helena Curtens,1722–1738,German,One of the last people to be executed for witchcraft in Germany.
Narbona Dacal,d. 1498,Spanish,Accused of witchcraft during the trial by the Inquisition. Burned at the stake.
Jean Delvaux,d. 1595,Belgian,Roman Catholic monk; beheaded
Catherine Deshayes,c. 1640–1680,French,AKA La Voisin; burned to death following the Affair of the Poisons
Thomas Doughty,d. 1578,English,"Nobleman and explorer accused by Sir Francis Drake of witchcraft, mutiny and treason; beheaded"
Mary Eastey,1634–1692,English (emigrated to British America),Hanged during the Salem witch trials
Anna Eriksdotter,1624–1704,Swedish,The last person executed for sorcery in Sweden.
Matteuccia de Francesco,d. 1428,Italian,Confessed to having flown on the back of a demon; burned to death.
Jeane Gardiner,d. 1651,British,Executed in Bermuda.
Gilles Garnier,d. 1573,French,"Serial child murderer; convicted of witchcraft and lycanthropy, and burned to death."
"Janet, Lady Glamis",d. 1537,Scottish,Accused of witchcraft by King James V; burned to death.
Ann Glover,d. 1688,Irish-born emigrant to Colonial America,Last person hanged for witchcraft in Boston.
Peronne Goguillon,d. 1679,French,Burned to death; one of the last women to be executed for witchcraft in France.
Anna Göldi,d. 1782,Swiss,Beheaded; last person to be executed for withcraft in Europe[11]
Sarah Good,1655–1692,Colonial American colonist,One of the first to be convicted in the Salem witch trials.
Urbain Grandier,1590–1634,French,Convicted following the Loudun possessions and burned to death.
Goodwife Greensmith[7],d. 1663,Colonial American colonist,"Hanged at Hartford, Connecticut"
Bertrand Guilladot,d. 1742,French,Priest who confessed to having made a pact with the devil
Mechteld ten Ham,d. 1605,Dutch,Confessed under torture and was burned to death.
